data_registrazione,cumulativo,data_evento
2025-03-19,1,2025-08-28
2025-03-22,2,2025-08-28
2025-03-25,5,2025-08-28
2025-03-26,8,2025-08-28
2025-03-27,9,2025-08-28
2025-03-28,11,2025-08-28
2025-03-29,13,2025-08-28
2025-04-01,14,2025-08-28
2025-04-05,15,2025-08-28
2025-04-06,16,2025-08-28
2025-04-07,17,2025-08-28
2025-04-08,18,2025-08-28
2025-04-16,19,2025-08-28
2025-04-17,22,2025-08-28
2025-04-18,23,2025-08-28
2025-04-21,25,2025-08-28
2025-04-24,28,2025-08-28
2025-04-28,32,2025-08-28
2025-04-29,33,2025-08-28
2025-05-01,34,2025-08-28
2025-05-03,39,2025-08-28
2025-05-04,41,2025-08-28
2025-05-05,42,2025-08-28
2025-05-06,43,2025-08-28
2025-05-07,44,2025-08-28
2025-05-09,47,2025-08-28
2025-05-11,50,2025-08-28
2025-05-12,52,2025-08-28
2025-05-15,53,2025-08-28
2025-05-17,55,2025-08-28
2025-05-18,57,2025-08-28
2025-05-19,60,2025-08-28
2025-05-21,62,2025-08-28
2025-05-22,69,2025-08-28
2025-05-23,72,2025-08-28
2025-05-24,73,2025-08-28
2025-05-25,75,2025-08-28
2025-05-26,76,2025-08-28
2025-05-27,78,2025-08-28
2025-05-28,79,2025-08-28
2025-05-30,83,2025-08-28
2025-06-01,86,2025-08-28
2025-06-03,90,2025-08-28
2025-06-04,91,2025-08-28
2025-06-08,92,2025-08-28
2025-06-09,105,2025-08-28
2025-06-10,109,2025-08-28
2025-06-11,114,2025-08-28
2025-06-12,120,2025-08-28
2025-06-13,130,2025-08-28
2025-06-14,131,2025-08-28
2025-06-15,134,2025-08-28
2025-06-16,137,2025-08-28
2025-06-17,140,2025-08-28
2025-06-18,142,2025-08-28
2025-06-19,143,2025-08-28
2025-06-20,144,2025-08-28
2025-06-21,148,2025-08-28
2025-06-22,166,2025-08-28
2025-06-23,169,2025-08-28
2025-06-24,173,2025-08-28
2025-06-25,176,2025-08-28
2025-06-26,191,2025-08-28
2025-06-27,194,2025-08-28
2025-06-28,198,2025-08-28
2025-06-29,209,2025-08-28
2025-06-30,232,2025-08-28
2025-07-01,238,2025-08-28
2025-07-02,246,2025-08-28
2025-07-03,250,2025-08-28
2025-07-04,251,2025-08-28
2025-07-05,258,2025-08-28
2025-07-06,272,2025-08-28
2025-07-07,273,2025-08-28
2025-07-08,282,2025-08-28
2025-07-09,296,2025-08-28
2025-07-10,312,2025-08-28
2025-07-11,331,2025-08-28
2025-07-12,340,2025-08-28
2025-07-13,354,2025-08-28
2025-07-14,367,2025-08-28
2025-07-15,385,2025-08-28
2025-07-16,396,2025-08-28
2025-07-17,407,2025-08-28
2025-07-18,415,2025-08-28
2025-07-19,435,2025-08-28
2025-07-20,449,2025-08-28
2025-07-21,466,2025-08-28
2025-07-22,495,2025-08-28
2025-07-23,506,2025-08-28
2025-07-24,543,2025-08-28
2025-07-25,548,2025-08-28
2025-07-26,551,2025-08-28
2025-07-27,568,2025-08-28
2025-07-28,598,2025-08-28
2025-07-29,612,2025-08-28
2025-07-30,624,2025-08-28
2025-07-31,629,2025-08-28
2025-08-01,636,2025-08-28
2025-08-02,643,2025-08-28
2025-08-03,647,2025-08-28
2025-08-04,659,2025-08-28
2025-08-05,687,2025-08-28
2025-08-06,697,2025-08-28
2025-08-07,703,2025-08-28
2025-08-08,725,2025-08-28
2025-08-09,732,2025-08-28
2025-08-10,747,2025-08-28
2025-08-11,764,2025-08-28
2025-08-12,782,2025-08-28
2025-08-13,787,2025-08-28
2025-08-14,801,2025-08-28
2025-08-15,810,2025-08-28
2025-08-16,815,2025-08-28
2025-08-17,824,2025-08-28
2025-08-18,847,2025-08-28
2025-08-19,875,2025-08-28
2025-08-20,902,2025-08-28
2025-08-21,930,2025-08-28
2025-08-22,966,2025-08-28
2025-08-23,984,2025-08-28
2025-08-24,993,2025-08-28
2025-08-25,1025,2025-08-28
2025-08-26,1055,2025-08-28
2025-08-27,1079,2025-08-28
2025-08-28,1089,2025-08-28
2025-08-29,1091,2025-08-28
2025-12-06,1092,2025-08-28
